,good,safe,bad,left_middle_right,Block,forced_choices,results,Expected,block_type,short_list_block
1,0.56_0.21_0.23,0.13_0.74_0.13,0.23_0.07_0.7,safe_good_bad,1,safe_bad_good,N_L_W,TRUE,3,1
2,0.7_0.16_0.14,0.165_0.67_0.165,0.39_0.02_0.59,bad_good_safe,2,good_good_bad,L_L_N,FALSE,4,2
3,0.67_0.24_0.09,0.19_0.62_0.19,0.04_0.33_0.63,bad_safe_good,3,bad_bad_safe,L_N_N,TRUE,1,3
4,0.62_0.28_0.1,0.135_0.73_0.135,0.32_0.16_0.52,safe_bad_good,4,safe_bad_good,L_L_N,FALSE,5,4
5,0.58_0.16_0.26,0.125_0.75_0.125,0.13_0.2_0.67,good_safe_bad,5,safe_safe_bad,N_N_L,TRUE,1,5
6,0.55_0.08_0.37,0.13_0.74_0.13,0.27_0.03_0.7,good_safe_bad,23,bad_safe_bad,L_N_N,TRUE,1,
7,0.59_0.35_0.06,0.17_0.66_0.17,0.14_0.22_0.64,good_bad_safe,7,bad_safe_bad,W_N_L,TRUE,2,6
8,0.59_0.41_0,0.19_0.62_0.19,0.23_0.1_0.67,good_bad_safe,14,safe_safe_safe,W_N_N,TRUE,9,7
9,0.62_0.14_0.24,0.135_0.73_0.135,0.31_0.01_0.68,bad_good_safe,10,safe_safe_safe,L_W_L,FALSE,7,8
10,0.64_0.25_0.11,0.125_0.75_0.125,0.15_0.29_0.56,safe_bad_good,26,good_bad_safe,L_L_N,FALSE,5,9
11,0.54_0.17_0.29,0.18_0.64_0.18,0.35_0.06_0.59,safe_bad_good,11,good_bad_safe,L_W_N,FALSE,3,
12,0.66_0.17_0.17,0.115_0.77_0.115,0.36_0.07_0.57,bad_safe_good,29,bad_safe_bad,N_N_L,TRUE,1,
13,0.6_0_0.4,0.175_0.65_0.175,0.09_0.3_0.61,safe_good_bad,22,bad_bad_bad,W_L_W,FALSE,8,10
14,0.54_0.1_0.36,0.115_0.77_0.115,0.3_0.12_0.58,bad_good_safe,15,bad_safe_safe,N_N_L,FALSE,1,11
15,0.59_0.03_0.38,0.15_0.7_0.15,0.33_0.16_0.51,bad_safe_good,8,good_good_good,W_W_L,TRUE,8,12
16,0.51_0.25_0.24,0.175_0.65_0.175,0.37_0.09_0.54,good_bad_safe,20,bad_good_bad,L_L_W,FALSE,6,13
17,0.56_0.12_0.32,0.125_0.75_0.125,0.11_0.34_0.55,good_bad_safe,25,safe_bad_safe,L_N_W,FALSE,2,
18,0.69_0.19_0.12,0.11_0.78_0.11,0.4_0.07_0.53,good_bad_safe,6,safe_good_good,L_N_N,FALSE,1,14
19,0.53_0.19_0.28,0.185_0.63_0.185,0.17_0.25_0.58,safe_bad_good,24,good_good_safe,L_W_N,TRUE,2,15
20,0.7_0.01_0.29,0.19_0.62_0.19,0_0.41_0.59,good_safe_bad,18,bad_bad_good,W_L_N,FALSE,2,16
21,0.54_0.12_0.34,0.165_0.67_0.165,0.15_0.31_0.54,safe_bad_good,16,bad_bad_safe,N_L_N,TRUE,1,
22,0.61_0.31_0.08,0.12_0.76_0.12,0.01_0.3_0.69,good_safe_bad,12,bad_bad_good,W_L_N,FALSE,2,
23,0.67_0.01_0.32,0.16_0.68_0.16,0.08_0.33_0.59,bad_good_safe,19,good_good_bad,W_L_L,TRUE,6,17
24,0.65_0.32_0.03,0.15_0.7_0.15,0.09_0.37_0.54,safe_good_bad,13,bad_bad_safe,L_L_N,TRUE,4,18
25,0.58_0.07_0.35,0.185_0.63_0.185,0.28_0.09_0.63,safe_good_bad,9,safe_good_good,N_L_N,FALSE,1,
26,0.54_0.29_0.17,0.165_0.67_0.165,0.38_0.05_0.57,good_safe_bad,28,good_good_good,N_N_W,FALSE,9,19
27,0.51_0.07_0.42,0.195_0.61_0.195,0.05_0.32_0.63,safe_good_bad,30,bad_bad_bad,W_L_L,TRUE,7,20
28,0.56_0.19_0.25,0.16_0.68_0.16,0_0.31_0.69,bad_safe_good,21,safe_bad_good,W_L_N,FALSE,3,21
29,0.62_0.14_0.24,0.105_0.79_0.105,0.35_0.07_0.58,bad_good_safe,27,bad_safe_bad,L_N_L,TRUE,4,
30,0.66_0.06_0.28,0.185_0.63_0.185,0.27_0.05_0.68,bad_safe_good,17,good_safe_good,L_N_W,TRUE,2,22
31,0.50_0.40_0.10,0.25_0.50_0.25,0.04_0.33_0.63,bad_safe_good,31,bad_good_safe,L_W_N,TRUE,3,